raw_scaffold,normalized_harness,tool_exposure_mechanism,tool_exposure_strength,exposed_tools,exposed_tools_note,embedded_model_hint,reasoning_effort_hint,normalization_note,curation_note,exclude_candidate,affordance_code_generation,affordance_code_execution,affordance_shell_access,affordance_file_read,affordance_file_edit,affordance_web_search,affordance_web_page_visit,affordance_browser_control,affordance_vision,affordance_native_domain_tools,affordance_benchmark_api_tools,affordance_human_dialogue,affordance_retrieval_context,affordance_external_judge_or_eval,affordance_self_debug_feedback,affordance_complete_program_prompt
coreagent,CORE-Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer,smolagents CodeAgent core tool registry with a custom final_answer validator.,,,case/punctuation-normalized alias,,,true,true,true,true,true,true,true,false,true,false,false,false,false,false,false,false
HAL Generalist,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,,,short alias,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
HAL Generalist Agent,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,,,canonical label,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
HAL Generalist High Reasoning,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,,high,reasoning setting normalized to model configuration,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
HAL Generalist Minimal Reasoning,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,,minimal,reasoning setting normalized to model configuration,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
HAL Generalist No Reasoning,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,,none,reasoning setting normalized to model configuration,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
HAL-Generalist-Agent,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,,,punctuation-normalized alias,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
Hal Generalist Agent,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,,,case-normalized alias,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
Hal Generalist Agent Opus 4.5,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,Claude Opus 4.5,,embedded model suffix removed,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
Hal Generalist Agent Opus 4.5 high,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,Claude Opus 4.5,high,embedded model and reasoning suffix removed,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
hal_generalist_agent_deepseekaideepseekr1,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,DeepSeek R1,,embedded model suffix removed,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
hal_generalist_agent_deepseekaideepseekv3,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,DeepSeek V3 / Chat,,embedded model suffix removed,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
hal_generalist_agent_gemini20flash,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,Gemini 2.0 Flash,,embedded model suffix removed,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
hal_generalist_agent_o3mini20250131_high,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,o3-mini,high,embedded model and reasoning suffix removed,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
hal_generalist_agent_o3mini20250131_low,HAL Generalist Agent,code_agent_tool_registry,,web_search; visit_webpage; python_interpreter; execute_bash; inspect_file_as_text; edit_file; file_content_search; query_vision_language_model; final_answer; taubench_airline_actions; appworld_api_executor; colbench_ask_user; colbench_finish_task,Benchmark-dependent smolagents registry: core tools are always registered; benchmark adapters are added for specific environments.,o3-mini,low,embedded model and reasoning suffix removed,,,true,true,true,true,true,true,true,false,true,true,true,true,false,false,false,false
HF Open Deep Research,HF Open Deep Research,code_agent_tool_registry,,visualizer; inspect_file_as_text; search_agent; web_search; visit_page; page_up; page_down; find_on_page_ctrl_f; find_next; find_archived_url,smolagents manager CodeAgent plus managed browser/search ToolCallingAgent.,,,canonical label,,,true,true,false,true,false,true,true,false,true,false,false,false,false,false,false,false
My Agent,SWE-Agent,text_action_protocol,,bash; str_replace_editor.view; str_replace_editor.create; str_replace_editor.str_replace; str_replace_editor.insert; str_replace_editor.undo_edit; filemap; submit; diff_state,SWE-Agent text/function action protocol from the filemap/simple-review config; raw My Agent labels are normalized here.,,,default raw agent_name recovered from trace metadata as agents/SWE-agent-v1.0,Original raw scaffold was My Agent; keep raw_scaffold for possible exclusion or sensitivity analysis.,false,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,false
SAB Self-Debug Claude-3-7,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",Claude 3.7 Sonnet,,embedded model suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug Claude-3-7 high,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",Claude 3.7 Sonnet,high,embedded model and reasoning suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug Claude-3-7 low,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",Claude 3.7 Sonnet,low,embedded model and reasoning suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug Claude-Haiku-4-5,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",Claude Haiku 4.5,,embedded model suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug Claude-Haiku-4-5 High,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",Claude Haiku 4.5,high,embedded model and reasoning suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug Claude-Opus-4-1,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",Claude Opus 4.1,,embedded model suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug Claude-Opus-4-1-High,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",Claude Opus 4.1,high,embedded model and reasoning suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug Claude-Sonnet-4-5,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",Claude Sonnet 4.5,,embedded model suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug Claude-Sonnet-4-5 High,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",Claude Sonnet 4.5,high,embedded model and reasoning suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug DS-V3,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",DeepSeek V3 / Chat,,embedded model suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug GPT-5-Medium,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",GPT-5,medium,embedded model and reasoning suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug gemini-2-0-flash,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",Gemini 2.0 Flash,,embedded model suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug gemini-2-5-pro,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",Gemini 2.5 Pro Preview,,embedded model suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug o3 medium,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",o3,medium,embedded model and reasoning suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug o4-mini high,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",o4-mini,high,embedded model and reasoning suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SAB Self-Debug o4-mini low,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",o4-mini,low,embedded model and reasoning suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
sab_selfdebug_dsr1,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",DeepSeek R1,,embedded model suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
sab_selfdebug_gpt_41,SAB Self-Debug,harness_side_augmentation,heavy,complete_program_generation; harness_code_execution; self_debug_feedback,"Harness executes generated programs and may feed errors back; these are harness-side augmentations, not model-callable tools.",GPT-4.1,,embedded model suffix removed,,,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true
SciCode Tool Calling Agent,SciCode Tool Calling Agent,code_agent_tool_registry,,web_search; python_interpreter; wikipedia_search; final_answer,smolagents CodeAgent registry for SciCode.,,,case-normalized alias,,,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true
Scicode Tool Calling Agent,SciCode Tool Calling Agent,code_agent_tool_registry,,web_search; python_interpreter; wikipedia_search; final_answer,smolagents CodeAgent registry for SciCode.,,,case-normalized alias,,,true,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true
Scicode Zero Shot Agent,SciCode Zero Shot Agent,no_explicit_tools,,none,Direct prompt-to-code/answer baseline; no explicit callable tool interface.,,,canonical label,,,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
SeeAct,SeeAct,framework_mediated_browser_control,,browser_observe; browser_click; browser_type; browser_select; browser_scroll; browser_navigate; browser_stop_or_answer,SeeAct browser-interaction action space inferred from scaffold family and traces; local source is absent.,,,canonical label,,,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false
SWE-Agent,SWE-Agent,text_action_protocol,,bash; str_replace_editor.view; str_replace_editor.create; str_replace_editor.str_replace; str_replace_editor.insert; str_replace_editor.undo_edit; filemap; submit; diff_state,SWE-Agent text/function action protocol from the filemap/simple-review config; raw My Agent labels are normalized here.,,,canonical label,,,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,false
TAU-bench FewShot,TAU-bench FewShot,native_tool_schema,,book_reservation; calculate; cancel_reservation; get_reservation_details; get_user_details; list_all_airports; search_direct_flight; search_onestop_flight; send_certificate; think; transfer_to_human_agents; update_reservation_baggages; update_reservation_flights; update_reservation_passengers,Native TAU-bench airline tools passed through isolated_env.tools_info with few-shot prompting.,,,canonical label,,,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
TauBench Few Shot,TAU-bench FewShot,native_tool_schema,,book_reservation; calculate; cancel_reservation; get_reservation_details; get_user_details; list_all_airports; search_direct_flight; search_onestop_flight; send_certificate; think; transfer_to_human_agents; update_reservation_baggages; update_reservation_flights; update_reservation_passengers,Native TAU-bench airline tools passed through isolated_env.tools_info with few-shot prompting.,,,case/punctuation-normalized alias,,,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
TauBench Few Shot High Reasoning,TAU-bench FewShot,native_tool_schema,,book_reservation; calculate; cancel_reservation; get_reservation_details; get_user_details; list_all_airports; search_direct_flight; search_onestop_flight; send_certificate; think; transfer_to_human_agents; update_reservation_baggages; update_reservation_flights; update_reservation_passengers,Native TAU-bench airline tools passed through isolated_env.tools_info with few-shot prompting.,,high,reasoning setting normalized to model configuration,,,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
TauBench Few-Shot High Reasoning,TAU-bench FewShot,native_tool_schema,,book_reservation; calculate; cancel_reservation; get_reservation_details; get_user_details; list_all_airports; search_direct_flight; search_onestop_flight; send_certificate; think; transfer_to_human_agents; update_reservation_baggages; update_reservation_flights; update_reservation_passengers,Native TAU-bench airline tools passed through isolated_env.tools_info with few-shot prompting.,,high,reasoning setting normalized to model configuration,,,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
TauBench Few-Shot Minimal Reasoning,TAU-bench FewShot,native_tool_schema,,book_reservation; calculate; cancel_reservation; get_reservation_details; get_user_details; list_all_airports; search_direct_flight; search_onestop_flight; send_certificate; think; transfer_to_human_agents; update_reservation_baggages; update_reservation_flights; update_reservation_passengers,Native TAU-bench airline tools passed through isolated_env.tools_info with few-shot prompting.,,minimal,reasoning setting normalized to model configuration,,,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
TauBench FewShot High Reasoning,TAU-bench FewShot,native_tool_schema,,book_reservation; calculate; cancel_reservation; get_reservation_details; get_user_details; list_all_airports; search_direct_flight; search_onestop_flight; send_certificate; think; transfer_to_human_agents; update_reservation_baggages; update_reservation_flights; update_reservation_passengers,Native TAU-bench airline tools passed through isolated_env.tools_info with few-shot prompting.,,high,reasoning setting normalized to model configuration,,,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
TauBench FewShot No Reasoning,TAU-bench FewShot,native_tool_schema,,book_reservation; calculate; cancel_reservation; get_reservation_details; get_user_details; list_all_airports; search_direct_flight; search_onestop_flight; send_certificate; think; transfer_to_human_agents; update_reservation_baggages; update_reservation_flights; update_reservation_passengers,Native TAU-bench airline tools passed through isolated_env.tools_info with few-shot prompting.,,none,reasoning setting normalized to model configuration,,,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
taubench_fewshot_o3mini20250131_high,TAU-bench FewShot,native_tool_schema,,book_reservation; calculate; cancel_reservation; get_reservation_details; get_user_details; list_all_airports; search_direct_flight; search_onestop_flight; send_certificate; think; transfer_to_human_agents; update_reservation_baggages; update_reservation_flights; update_reservation_passengers,Native TAU-bench airline tools passed through isolated_env.tools_info with few-shot prompting.,o3-mini,high,embedded model and reasoning suffix removed,,,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
Taubench ToolCalling,TAU-bench ToolCalling,native_tool_schema,,book_reservation; calculate; cancel_reservation; get_reservation_details; get_user_details; list_all_airports; search_direct_flight; search_onestop_flight; send_certificate; think; transfer_to_human_agents; update_reservation_baggages; update_reservation_flights; update_reservation_passengers,Native TAU-bench airline tools passed through isolated_env.tools_info.,,,canonical label,,,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
USACO Episodic + Semantic,USACO Episodic + Semantic,harness_side_augmentation,light_to_medium,retrieval_prompt; episodic_examples; semantic_examples; judge_execution,Solve/retrieval/evaluation stages are harness-side; the model is not given an interactive callable tool interface.,,,canonical label,,,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true
usaco_episodic__semantic_deepseekaideepseekr1,USACO Episodic + Semantic,harness_side_augmentation,light_to_medium,retrieval_prompt; episodic_examples; semantic_examples; judge_execution,Solve/retrieval/evaluation stages are harness-side; the model is not given an interactive callable tool interface.,DeepSeek R1,,embedded model suffix removed,,,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true
usaco_episodic__semantic_deepseekaideepseekv3,USACO Episodic + Semantic,harness_side_augmentation,light_to_medium,retrieval_prompt; episodic_examples; semantic_examples; judge_execution,Solve/retrieval/evaluation stages are harness-side; the model is not given an interactive callable tool interface.,DeepSeek V3 / Chat,,embedded model suffix removed,,,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true
usaco_episodic__semantic_gpt4120250414,USACO Episodic + Semantic,harness_side_augmentation,light_to_medium,retrieval_prompt; episodic_examples; semantic_examples; judge_execution,Solve/retrieval/evaluation stages are harness-side; the model is not given an interactive callable tool interface.,GPT-4.1,,embedded model suffix removed,,,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true
usaco_episodic__semantic_o3mini20250131_high,USACO Episodic + Semantic,harness_side_augmentation,light_to_medium,retrieval_prompt; episodic_examples; semantic_examples; judge_execution,Solve/retrieval/evaluation stages are harness-side; the model is not given an interactive callable tool interface.,o3-mini,high,embedded model and reasoning suffix removed,,,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true
usaco_episodic__semantic_o3mini20250131_low,USACO Episodic + Semantic,harness_side_augmentation,light_to_medium,retrieval_prompt; episodic_examples; semantic_examples; judge_execution,Solve/retrieval/evaluation stages are harness-side; the model is not given an interactive callable tool interface.,o3-mini,low,embedded model and reasoning suffix removed,,,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true
