agent_id,scaffold,model,benchmark,n_tasks,n_correct,total_cost,date,run_id,source_file,accuracy
Browser-Use_test__claude-haiku-4-5-20251001__browser-use_claude-haiku-4-5-20251001,Browser-Use_test,claude-haiku-4-5-20251001,online_mind2web,300,113,598.677325,2025-11-12,browser-use_claude-haiku-4-5-20251001,browser-use_claude-haiku-4-5-20251001_UPLOAD.zip,0.37666666666666665
Browser-Use_test__claude-haiku-4-5-20251001__browser-use_claude-haiku-4-5-20251001_thinking_high_4096,Browser-Use_test,claude-haiku-4-5-20251001,online_mind2web,300,120,617.520126,2025-11-12,browser-use_claude-haiku-4-5-20251001_thinking_high_4096,browser-use_claude-haiku-4-5-20251001_thinking_high_4096_UPLOAD.zip,0.4
Browser-Use_test__claude-sonnet-4-20250514__browser-use_claude-sonnet-4-20250514,Browser-Use_test,claude-sonnet-4-20250514,online_mind2web,300,120,1577.2567669,2025-08-10,browser-use_claude-sonnet-4-20250514,browser-use_claude-sonnet-4-20250514_UPLOAD.zip,0.4
Browser-Use_test__claude-sonnet-4-20250514__browser-use_claude-sonnet-4-20250514_thinking_high_4096,Browser-Use_test,claude-sonnet-4-20250514,online_mind2web,300,118,1609.923468,2025-08-10,browser-use_claude-sonnet-4-20250514_thinking_high_4096,browser-use_claude-sonnet-4-20250514_thinking_high_4096_UPLOAD.zip,0.3933333333333333
Browser-Use_test__claude-sonnet-4-5-20250929__browser-use_claude-sonnet-4-5-20250929,Browser-Use_test,claude-sonnet-4-5-20250929,online_mind2web,300,139,1659.808536,2025-11-12,browser-use_claude-sonnet-4-5-20250929,browser-use_claude-sonnet-4-5-20250929_UPLOAD.zip,0.4633333333333333
Browser-Use_test__claude-sonnet-4-5-20250929__browser-use_claude-sonnet-4-5-20250929_thinking_high_4096,Browser-Use_test,claude-sonnet-4-5-20250929,online_mind2web,300,148,1669.2822569999998,2025-11-12,browser-use_claude-sonnet-4-5-20250929_thinking_high_4096,browser-use_claude-sonnet-4-5-20250929_thinking_high_4096_UPLOAD.zip,0.49333333333333335
Browser-Use_test__deepseek-ai/DeepSeek-R1__browser-use_DeepSeek-R1,Browser-Use_test,deepseek-ai/DeepSeek-R1,online_mind2web,300,76,280.930304,2025-05-11,browser-use_DeepSeek-R1,browser-use_DeepSeek-R1_UPLOAD.zip,0.25333333333333335
Browser-Use_test__deepseek-ai/DeepSeek-V3__browser-use_DeepSeek-V3,Browser-Use_test,deepseek-ai/DeepSeek-V3,online_mind2web,300,97,214.7444425,2025-05-09,browser-use_DeepSeek-V3,browser-use_DeepSeek-V3_UPLOAD.zip,0.3233333333333333
Browser-Use_test__gemini-2.0-flash__browser-use_gemini-2.0-flash,Browser-Use_test,gemini-2.0-flash,online_mind2web,300,87,18.0146363,2025-08-10,browser-use_gemini-2.0-flash,browser-use_gemini-2.0-flash_UPLOAD.zip,0.29
Browser-Use_test__gemini-2.5-pro-preview-03-25__browser-use_gemini-2.5-pro-preview-03-25,Browser-Use_test,gemini-2.5-pro-preview-03-25,online_mind2web,300,123,331.3742725,2025-08-11,browser-use_gemini-2.5-pro-preview-03-25,browser-use_gemini-2.5-pro-preview-03-25_UPLOAD.zip,0.41
"CORE-Agent(Claude-
Sonnet-4-5)__claude-sonnet-4-5__corebench_hard_coreagentclaudesonnet45_1759329435","CORE-Agent(Claude-
Sonnet-4-5)",claude-sonnet-4-5,corebench_hard,45,17,97.1492565,2025-10-01,corebench_hard_coreagentclaudesonnet45_1759329435,corebench_hard_coreagentclaudesonnet45_1759329435_UPLOAD.zip,0.37777777777777777
CORE-Agent__anthropic/claude-sonnet-4-5__corebench_hard_coreagentclaudesonnet45high_1759330487,CORE-Agent,anthropic/claude-sonnet-4-5,corebench_hard,45,20,92.339173,2025-10-01,corebench_hard_coreagentclaudesonnet45high_1759330487,corebench_hard_coreagentclaudesonnet45high_1759330487_UPLOAD.zip,0.4444444444444444
CORE-Agent__claude-3-7-sonnet-20250219__corebench_hard_coreagent_1744922181,CORE-Agent,claude-3-7-sonnet-20250219,corebench_hard,45,16,73.0401705,2025-04-19,corebench_hard_coreagent_1744922181,corebench_hard_coreagent_1744922181_UPLOAD.zip,0.35555555555555557
CORE-Agent__claude-3-7-sonnet-20250219__corebench_hard_coreagent_1745118908,CORE-Agent,claude-3-7-sonnet-20250219,corebench_hard,45,15,75.191293,2025-04-21,corebench_hard_coreagent_1745118908,corebench_hard_coreagent_1745118908_UPLOAD.zip,0.3333333333333333
CORE-Agent__claude-3-7-sonnet-20250219__corebench_hard_coreagent_1745258007,CORE-Agent,claude-3-7-sonnet-20250219,corebench_hard,45,11,72.46651700000001,2025-04-22,corebench_hard_coreagent_1745258007,corebench_hard_coreagent_1745258007_UPLOAD.zip,0.24444444444444444
CORE-Agent__claude-haiku-4-5__corebench_hard_coreagentclaudehaiku45_1760647306,CORE-Agent,claude-haiku-4-5,corebench_hard,45,5,0.0,2025-10-16,corebench_hard_coreagentclaudehaiku45_1760647306,corebench_hard_coreagentclaudehaiku45_1760647306_UPLOAD.zip,0.1111111111111111
CORE-Agent__claude-sonnet-4-20250514__corebench_hard_coreagentclaudesonnet4_1755796611,CORE-Agent,claude-sonnet-4-20250514,corebench_hard,45,13,50.270689,2025-08-21,corebench_hard_coreagentclaudesonnet4_1755796611,corebench_hard_coreagentclaudesonnet4_1755796611_UPLOAD.zip,0.28888888888888886
CORE-Agent__claude-sonnet-4-20250514__corebench_hard_coreagentclaudesonnet4high_1755814601,CORE-Agent,claude-sonnet-4-20250514,corebench_hard,45,15,100.4777685,2025-08-21,corebench_hard_coreagentclaudesonnet4high_1755814601,corebench_hard_coreagentclaudesonnet4high_1755814601_UPLOAD.zip,0.3333333333333333
CORE-Agent__gemini/gemini-2.0-flash__corebench_hard_coreagent_1744856042,CORE-Agent,gemini/gemini-2.0-flash,corebench_hard,45,5,12.4607438,2025-04-19,corebench_hard_coreagent_1744856042,corebench_hard_coreagent_1744856042_UPLOAD.zip,0.1111111111111111
CORE-Agent__gemini/gemini-2.5-pro-preview-03-25__corebench_hard_coreagent_1744922265,CORE-Agent,gemini/gemini-2.5-pro-preview-03-25,corebench_hard,45,10,182.33768750000004,2025-04-19,corebench_hard_coreagent_1744922265,corebench_hard_coreagent_1744922265_UPLOAD.zip,0.2222222222222222
CORE-Agent__gpt-4.1-2025-04-14__corebench_hard_coreagent_1744752123,CORE-Agent,gpt-4.1-2025-04-14,corebench_hard,45,15,107.360036,2025-04-19,corebench_hard_coreagent_1744752123,corebench_hard_coreagent_1744752123_UPLOAD.zip,0.3333333333333333
CORE-Agent__o3-2025-04-16__corebench_hard_coreagent_1745118876,CORE-Agent,o3-2025-04-16,corebench_hard,45,11,602.36698,2025-04-20,corebench_hard_coreagent_1745118876,corebench_hard_coreagent_1745118876_UPLOAD.zip,0.24444444444444444
CORE-Agent__o3-mini-2025-01-31__corebench_hard_coreagent_1744922343,CORE-Agent,o3-mini-2025-01-31,corebench_hard,45,7,25.055886,2025-04-18,corebench_hard_coreagent_1744922343,corebench_hard_coreagent_1744922343_UPLOAD.zip,0.15555555555555556
CORE-Agent__o4-mini-2025-04-16__corebench_hard_coreagent_1745046580,CORE-Agent,o4-mini-2025-04-16,corebench_hard,45,8,31.7882798,2025-04-19,corebench_hard_coreagent_1745046580,corebench_hard_coreagent_1745046580_UPLOAD.zip,0.17777777777777778
CORE-Agent__o4-mini-2025-04-16__corebench_hard_coreagent_1745075792,CORE-Agent,o4-mini-2025-04-16,corebench_hard,45,12,61.351168599999994,2025-04-19,corebench_hard_coreagent_1745075792,corebench_hard_coreagent_1745075792_UPLOAD.zip,0.26666666666666666
CORE-Agent__openai/gpt-5-2025-08-07__corebench_hard_coreagent_1754599494,CORE-Agent,openai/gpt-5-2025-08-07,corebench_hard,45,12,31.76036,2025-08-08,corebench_hard_coreagent_1754599494,corebench_hard_coreagent_1754599494_UPLOAD.zip,0.26666666666666666
CORE-Agent__openrouter/anthropic/claude-opus-4.1__corebench_hard_coreagent_1754492675,CORE-Agent,openrouter/anthropic/claude-opus-4.1,corebench_hard,45,23,412.4151425,2025-08-06,corebench_hard_coreagent_1754492675,corebench_hard_coreagent_1754492675_UPLOAD.zip,0.5111111111111111
CORE-Agent__openrouter/anthropic/claude-opus-4.1__corebench_hard_coreagent_1754539779,CORE-Agent,openrouter/anthropic/claude-opus-4.1,corebench_hard,45,19,509.95333,2025-08-07,corebench_hard_coreagent_1754539779,corebench_hard_coreagent_1754539779_UPLOAD.zip,0.4222222222222222
CORE-Agent__openrouter/deepseek/deepseek-chat-v3.1__corebench_hard_coreagentdeepseekv31_1755793007,CORE-Agent,openrouter/deepseek/deepseek-chat-v3.1,corebench_hard,45,9,5.90533799,2025-08-21,corebench_hard_coreagentdeepseekv31_1755793007,corebench_hard_coreagentdeepseekv31_1755793007_UPLOAD.zip,0.2
CORE-Agent__openrouter/openai/gpt-oss-120b__corebench_hard_coreagent_1754492673,CORE-Agent,openrouter/openai/gpt-oss-120b,corebench_hard,45,5,4.2090646,2025-08-06,corebench_hard_coreagent_1754492673,corebench_hard_coreagent_1754492673_UPLOAD.zip,0.1111111111111111
CORE-Agent__openrouter/openai/gpt-oss-120b__corebench_hard_coreagent_1754539776,CORE-Agent,openrouter/openai/gpt-oss-120b,corebench_hard,45,5,4.212021099999999,2025-08-07,corebench_hard_coreagent_1754539776,corebench_hard_coreagent_1754539776_UPLOAD.zip,0.1111111111111111
CORE-Agent__together_ai/deepseek-ai/DeepSeek-R1__corebench_hard_coreagent_1744922373,CORE-Agent,together_ai/deepseek-ai/DeepSeek-R1,corebench_hard,45,4,127.565503,2025-04-19,corebench_hard_coreagent_1744922373,corebench_hard_coreagent_1744922373_UPLOAD.zip,0.08888888888888889
CORE-Agent__together_ai/deepseek-ai/DeepSeek-V3__corebench_hard_coreagent_1744854746,CORE-Agent,together_ai/deepseek-ai/DeepSeek-V3,corebench_hard,45,8,25.259340000000005,2025-04-19,corebench_hard_coreagent_1744854746,corebench_hard_coreagent_1744854746_UPLOAD.zip,0.17777777777777778
Claude Code__claude-opus-4-1__corebench_hard_claude_code_claudeopus41_1764560915,Claude Code,claude-opus-4-1,corebench_hard,45,19,331.7909827499999,2025-12-01,corebench_hard_claude_code_claudeopus41_1764560915,corebench_hard_claude_code_claudeopus41_1764560915_UPLOAD.zip,0.4222222222222222
Claude Code__claude-opus-4-5__corebench_hard_claude_code_claudeopus45_1764537671,Claude Code,claude-opus-4-5,corebench_hard,45,35,87.16201675000002,2025-12-01,corebench_hard_claude_code_claudeopus45_1764537671,corebench_hard_claude_code_claudeopus45_1764537671_UPLOAD.zip,0.7777777777777778
Claude Code__claude-sonnet-4-20250514__corebench_hard_claude_code_claudesonnet420250514_1764558813,Claude Code,claude-sonnet-4-20250514,corebench_hard,45,21,65.57513715,2025-12-01,corebench_hard_claude_code_claudesonnet420250514_1764558813,corebench_hard_claude_code_claudesonnet420250514_1764558813_UPLOAD.zip,0.4666666666666667
Claude Code__claude-sonnet-4-5-20250929__corebench_hard_claude_code_claudesonnet4520250929_1764605733,Claude Code,claude-sonnet-4-5-20250929,corebench_hard,45,28,68.329936,2025-12-01,corebench_hard_claude_code_claudesonnet4520250929_1764605733,corebench_hard_claude_code_claudesonnet4520250929_1764605733_UPLOAD.zip,0.6222222222222222
Core Agent Opus 4.5 high__claude-opus-4-5-20251101__corebench_hard_core_agent_opus_45_high_1764027725,Core Agent Opus 4.5 high,claude-opus-4-5-20251101,corebench_hard,45,19,152.66230000000004,2025-11-24,corebench_hard_core_agent_opus_45_high_1764027725,corebench_hard_core_agent_opus_45_high_1764027725_UPLOAD.zip,0.4222222222222222
Core Agent Opus 4.5__claude-opus-4-5-20251101__corebench_hard_core_agent_opus_45_1764027531,Core Agent Opus 4.5,claude-opus-4-5-20251101,corebench_hard,45,19,168.99429000000003,2025-11-24,corebench_hard_core_agent_opus_45_1764027531,corebench_hard_core_agent_opus_45_1764027531_UPLOAD.zip,0.4222222222222222
Core Agent__google/gemini-3-pro-preview__corebench_hard_core_agent_1763842609,Core Agent,google/gemini-3-pro-preview,corebench_hard,45,18,0.01366,2025-11-22,corebench_hard_core_agent_1763842609,corebench_hard_core_agent_1763842609_UPLOAD.zip,0.4
Core-Agent__openrouter/deepseek/deepseek-r1__corebench_hard_coreagentdeepseekr1_1757604883,Core-Agent,openrouter/deepseek/deepseek-r1,corebench_hard,45,2,35.425319,2025-09-11,corebench_hard_coreagentdeepseekr1_1757604883,corebench_hard_coreagentdeepseekr1_1757604883_UPLOAD.zip,0.044444444444444446
Coreagent__anthropic/claude-opus-4-5-20251101__corebench_hard_coreagentclaudeopus45_1765822018,Coreagent,anthropic/claude-opus-4-5-20251101,corebench_hard,45,34,273.739365,2025-12-15,corebench_hard_coreagentclaudeopus45_1765822018,corebench_hard_coreagentclaudeopus45_1765822018_UPLOAD.zip,0.7555555555555555
HAL Generalist Agent__anthropic/claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,HAL Generalist Agent,anthropic/claude-3-7-sonnet-20250219,scicode,65,2,188.154993,2025-07-29,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217,scicode_hal_generalist_agent_claude37sonnet20250219_high_1748947217_UPLOAD.zip,0.03076923076923077
HAL Generalist Agent__claude-3-7-sonnet-20250219__assistantbench_hal_generalist_agent_claude37sonnet20250219_1746223066,HAL Generalist Agent,claude-3-7-sonnet-20250219,assistantbench,33,0,9.713307,2025-07-31,assistantbench_hal_generalist_agent_claude37sonnet20250219_1746223066,assistantbench_hal_generalist_agent_claude37sonnet20250219_1746223066_UPLOAD.zip,0.0
HAL Generalist Agent__claude-3-7-sonnet-20250219__assistantbench_hal_generalist_agent_claude37sonnet20250219_high_1748661923,HAL Generalist Agent,claude-3-7-sonnet-20250219,assistantbench,33,1,10.564131,2025-07-31,assistantbench_hal_generalist_agent_claude37sonnet20250219_high_1748661923,assistantbench_hal_generalist_agent_claude37sonnet20250219_high_1748661923_UPLOAD.zip,0.030303030303030304
HAL Generalist Agent__claude-3-7-sonnet-20250219__assistantbench_hal_generalist_agent_claude37sonnet20250219_low_1748660152,HAL Generalist Agent,claude-3-7-sonnet-20250219,assistantbench,33,1,9.809895,2025-07-31,assistantbench_hal_generalist_agent_claude37sonnet20250219_low_1748660152,assistantbench_hal_generalist_agent_claude37sonnet20250219_low_1748660152_UPLOAD.zip,0.030303030303030304
HAL Generalist Agent__claude-3-7-sonnet-20250219__corebench_hard_hal_generalist_agent_1747200995,HAL Generalist Agent,claude-3-7-sonnet-20250219,corebench_hard,45,0,0.15963,2025-05-18,corebench_hard_hal_generalist_agent_1747200995,corebench_hard_hal_generalist_agent_1747200995_UPLOAD.zip,0.0
HAL Generalist Agent__claude-3-7-sonnet-20250219__corebench_hard_hal_generalist_agent_1748734902,HAL Generalist Agent,claude-3-7-sonnet-20250219,corebench_hard,45,4,36.671253,2025-06-01,corebench_hard_hal_generalist_agent_1748734902,corebench_hard_hal_generalist_agent_1748734902_UPLOAD.zip,0.08888888888888889
HAL Generalist Agent__claude-3-7-sonnet-20250219__corebench_hard_hal_generalist_agent_1748793241,HAL Generalist Agent,claude-3-7-sonnet-20250219,corebench_hard,45,10,63.211237,2025-06-02,corebench_hard_hal_generalist_agent_1748793241,corebench_hard_hal_generalist_agent_1748793241_UPLOAD.zip,0.2222222222222222
HAL Generalist Agent__claude-3-7-sonnet-20250219__corebench_hard_hal_generalist_agent_1748971685,HAL Generalist Agent,claude-3-7-sonnet-20250219,corebench_hard,45,12,51.587013,2025-06-04,corebench_hard_hal_generalist_agent_1748971685,corebench_hard_hal_generalist_agent_1748971685_UPLOAD.zip,0.26666666666666666
HAL Generalist Agent__claude-3-7-sonnet-20250219__corebench_hard_hal_generalist_agent_1749067899,HAL Generalist Agent,claude-3-7-sonnet-20250219,corebench_hard,45,14,54.3719495,2025-06-05,corebench_hard_hal_generalist_agent_1749067899,corebench_hard_hal_generalist_agent_1749067899_UPLOAD.zip,0.3111111111111111
HAL Generalist Agent__claude-3-7-sonnet-20250219__gaia_hal_generalist_agent_claude37sonnet20250219_1744772193,HAL Generalist Agent,claude-3-7-sonnet-20250219,gaia,165,93,130.678222,2025-04-24,gaia_hal_generalist_agent_claude37sonnet20250219_1744772193,gaia_hal_generalist_agent_claude37sonnet20250219_1744772193_UPLOAD.zip,0.5636363636363636
HAL Generalist Agent__claude-3-7-sonnet-20250219__gaia_hal_generalist_agent_claude37sonnet20250219_high_1744730242,HAL Generalist Agent,claude-3-7-sonnet-20250219,gaia,165,106,122.490232,2025-04-25,gaia_hal_generalist_agent_claude37sonnet20250219_high_1744730242,gaia_hal_generalist_agent_claude37sonnet20250219_high_1744730242_UPLOAD.zip,0.6424242424242425
HAL Generalist Agent__claude-3-7-sonnet-20250219__scicode_hal_generalist_agent_claude37sonnet20250219_1745706693,HAL Generalist Agent,claude-3-7-sonnet-20250219,scicode,65,2,60.395964,2025-04-27,scicode_hal_generalist_agent_claude37sonnet20250219_1745706693,scicode_hal_generalist_agent_claude37sonnet20250219_1745706693_UPLOAD.zip,0.03076923076923077
HAL Generalist Agent__claude-3-7-sonnet-20250219__scienceagentbench_hal_generalist_agent_claude37sonnet20250219_1746110849,HAL Generalist Agent,claude-3-7-sonnet-20250219,scienceagentbench,102,11,41.219199,2025-05-04,scienceagentbench_hal_generalist_agent_claude37sonnet20250219_1746110849,scienceagentbench_hal_generalist_agent_claude37sonnet20250219_1746110849_UPLOAD.zip,0.10784313725490197
