run_id,scaffold,model,source_file,correct,reward,observed_n_actions,raw_n_actions,oracle_suffix_stripped,n_respond,n_search_direct_flight,n_update_reservation_flights,has_update_reservation_baggages,has_send_certificate,has_transfer_to_human_agents,final_action,final_signature,contains_expected_action_subsequence,contains_expected_signature_subsequence,used_expected_update_flight,used_non_expected_update_flight,first_update_is_expected,all_updates_are_expected,update_flight_numbers,sequence,signature_sequence
taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798,HAL Generalist Minimal Reasoning,gpt-5,taubench_airline_hal_generalist_minimal_reasoning_gpt5_1754595798_UPLOAD.zip,0,0.0,8,8,0,5,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_hal_generalist_no_reasoning_claudeopus41_1754431985,HAL Generalist No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline_hal_generalist_no_reasoning_claudeopus41_1754431985_UPLOAD.zip,0,0.0,9,9,0,5,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> search_direct_flight -> get_user_details -> respond -> respond -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> search_direct_flight(origin=LAS) -> get_user_details(user_id=james_taylor_7043) -> respond -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_taubench_few_shot_claudeopus420250514_1754083314,TauBench Few Shot,claude-opus-4-20250514,taubench_airline_taubench_few_shot_claudeopus420250514_1754083314_UPLOAD.zip,1,1.0,8,11,1,5,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_taubench_few_shot_high_reasoning_claudeopus420250514_1754083292,TauBench Few Shot High Reasoning,claude-opus-4-20250514,taubench_airline_taubench_few_shot_high_reasoning_claudeopus420250514_1754083292_UPLOAD.zip,1,1.0,9,12,1,5,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> calculate -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> calculate -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_taubench_fewshot_deepseekaideepseekr1_1745101169,TAU-bench FewShot,together_ai/deepseek-ai/DeepSeek-R1,taubench_airline_taubench_fewshot_deepseekaideepseekr1_1745101169_UPLOAD.zip,0,0.0,7,10,1,7,0,0,0,0,0,respond,respond,0,0,0,0,0,0,,respond -> respond -> respond -> respond -> respond -> respond -> respond,respond -> respond -> respond -> respond -> respond -> respond -> respond
taubench_airline_taubench_fewshot_deepseekaideepseekv3_1745101128,TAU-bench FewShot,together_ai/deepseek-ai/DeepSeek-V3,taubench_airline_taubench_fewshot_deepseekaideepseekv3_1745101128_UPLOAD.zip,0,0.0,30,30,0,30,0,0,0,0,0,respond,respond,0,0,0,0,0,0,,respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond,respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond -> respond
taubench_airline_taubench_fewshot_gemini20flash_1750877603,TAU-bench FewShot,gemini-2.0-flash,taubench_airline_taubench_fewshot_gemini20flash_1750877603_UPLOAD.zip,0,0.0,15,18,1,11,1,1,1,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> respond -> search_direct_flight -> respond -> respond -> respond -> respond -> update_reservation_flights -> respond -> respond -> respond -> update_reservation_baggages -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond -> respond -> update_reservation_baggages(reservation_id=1N99U6) -> respond
taubench_airline_taubench_fewshot_gpt4120250414_1745112637,TAU-bench FewShot,gpt-4.1-2025-04-14,taubench_airline_taubench_fewshot_gpt4120250414_1745112637_UPLOAD.zip,0,0.0,14,17,1,8,1,2,1,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112|HAT266|HAT112,respond -> respond -> respond -> get_reservation_details -> search_direct_flight -> respond -> respond -> respond -> update_reservation_flights -> get_user_details -> respond -> update_reservation_flights -> update_reservation_baggages -> respond,respond -> respond -> respond -> get_reservation_details(reservation_id=1N99U6) -> search_direct_flight(origin=LAS) -> respond -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> get_user_details(user_id=james_taylor_7043) -> respond -> update_reservation_flights(HAT266+HAT112) -> update_reservation_baggages(reservation_id=1N99U6) -> respond
taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663,TauBench FewShot High Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline_taubench_fewshot_high_reasoning_claudeopus41_1754432663_UPLOAD.zip,1,1.0,10,13,1,7,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> respond -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_taubench_fewshot_high_reasoning_gpt5_1754595988,TauBench Few-Shot High Reasoning,gpt-5,taubench_airline_taubench_fewshot_high_reasoning_gpt5_1754595988_UPLOAD.zip,1,1.0,9,12,1,5,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> get_user_details -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> get_user_details(user_id=james_taylor_7043) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_taubench_fewshot_minimal_reasoning_gpt5_1754596041,TauBench Few-Shot Minimal Reasoning,gpt-5,taubench_airline_taubench_fewshot_minimal_reasoning_gpt5_1754596041_UPLOAD.zip,1,1.0,11,14,1,6,1,1,0,0,1,transfer_to_human_agents,transfer_to_human_agents,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> get_user_details -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond -> respond -> transfer_to_human_agents,respond -> get_reservation_details(reservation_id=1N99U6) -> get_user_details(user_id=james_taylor_7043) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond -> transfer_to_human_agents
taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664,TauBench FewShot No Reasoning,openrouter/anthropic/claude-opus-4.1,taubench_airline_taubench_fewshot_no_reasoning_claudeopus41_1754432664_UPLOAD.zip,1,1.0,11,14,1,7,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> calculate -> respond -> update_reservation_flights -> respond -> respond -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> calculate -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond -> respond
taubench_airline_taubench_fewshot_o320250403_1744728447,TAU-bench FewShot,o3-2025-04-03,taubench_airline_taubench_fewshot_o320250403_1744728447_UPLOAD.zip,1,1.0,11,14,1,7,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_user_details -> respond -> respond -> get_reservation_details -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond -> respond,respond -> get_user_details(user_id=james_taylor_7043) -> respond -> respond -> get_reservation_details(reservation_id=1N99U6) -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond
taubench_airline_taubench_fewshot_o320250416_medium_1753770065,TAU-bench FewShot,o3-2025-04-16,taubench_airline_taubench_fewshot_o320250416_medium_1753770065_UPLOAD.zip,1,1.0,10,13,1,6,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> search_direct_flight -> respond -> respond -> get_user_details -> respond -> update_reservation_flights -> respond -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> search_direct_flight(origin=LAS) -> respond -> respond -> get_user_details(user_id=james_taylor_7043) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond
taubench_airline_taubench_fewshot_o3mini20250131_high_1744743428,taubench_fewshot_o3mini20250131_high,o3-mini-2025-01-31,taubench_airline_taubench_fewshot_o3mini20250131_high_1744743428_UPLOAD.zip,0,0.0,7,10,1,7,0,0,0,0,0,respond,respond,0,0,0,0,0,0,,respond -> respond -> respond -> respond -> respond -> respond -> respond,respond -> respond -> respond -> respond -> respond -> respond -> respond
taubench_airline_taubench_fewshot_o4mini20250416_high_1745112675,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline_taubench_fewshot_o4mini20250416_high_1745112675_UPLOAD.zip,1,1.0,8,11,1,5,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> update_reservation_flights -> respond -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond
taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803,TAU-bench FewShot,o4-mini-2025-04-16,taubench_airline_taubench_fewshot_o4mini20250416_low_1745099803_UPLOAD.zip,1,1.0,11,14,1,7,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> get_user_details -> respond -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> get_user_details(user_id=james_taylor_7043) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond
taubench_airline_taubench_toolcalling_claude37sonnet_1760379497,Taubench ToolCalling,anthropic/claude-3.7-sonnet,taubench_airline_taubench_toolcalling_claude37sonnet_1760379497_UPLOAD.zip,1,1.0,12,15,1,8,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> get_user_details -> respond -> respond -> update_reservation_flights -> respond -> respond -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> get_user_details(user_id=james_taylor_7043) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond -> respond
taubench_airline_taubench_toolcalling_claude37sonnet_high_1760999140,Taubench ToolCalling,anthropic/claude-3.7-sonnet,taubench_airline_taubench_toolcalling_claude37sonnet_high_1760999140_UPLOAD.zip,1,1.0,11,14,1,7,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> get_user_details -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond -> respond -> respond,respond -> get_user_details(user_id=james_taylor_7043) -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond -> respond
taubench_airline_taubench_toolcalling_claudeopus41_1760380824,Taubench ToolCalling,anthropic/claude-opus-4.1,taubench_airline_taubench_toolcalling_claudeopus41_1760380824_UPLOAD.zip,1,1.0,13,16,1,8,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,respond -> respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> calculate -> respond -> get_user_details -> update_reservation_flights -> respond -> respond -> respond,respond -> respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> calculate -> respond -> get_user_details(user_id=james_taylor_7043) -> update_reservation_flights(HAT266+HAT112) -> respond -> respond -> respond
taubench_airline_taubench_toolcalling_claudeopus41_high_1761000598,Taubench ToolCalling,anthropic/claude-opus-4.1,taubench_airline_taubench_toolcalling_claudeopus41_high_1761000598_UPLOAD.zip,0,0.0,10,13,1,6,1,1,0,0,0,respond,respond,1,0,1,1,0,0,HAT175|HAT112,respond -> get_reservation_details -> get_user_details -> respond -> search_direct_flight -> respond -> respond -> respond -> update_reservation_flights -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> get_user_details(user_id=james_taylor_7043) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> respond -> update_reservation_flights(HAT175+HAT112) -> respond
taubench_airline_taubench_toolcalling_deepseekr1_1760382872,Taubench ToolCalling,deepseek/deepseek-r1,taubench_airline_taubench_toolcalling_deepseekr1_1760382872_UPLOAD.zip,1,1.0,13,16,1,6,1,1,0,0,0,respond,respond,1,1,1,0,1,1,HAT266|HAT112,get_user_details -> respond -> get_user_details -> get_reservation_details -> respond -> get_reservation_details -> search_direct_flight -> respond -> update_reservation_flights -> respond -> think -> respond -> respond,get_user_details(user_id=[Please provide your user ID]) -> respond -> get_user_details(user_id=james_taylor_7043) -> get_reservation_details(reservation_id=UUN48W) -> respond -> get_reservation_details(reservation_id=1N99U6) -> search_direct_flight(origin=LAS) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> think -> respond -> respond
taubench_airline_taubench_toolcalling_deepseekv3_1760385714,Taubench ToolCalling,deepseek/deepseek-chat,taubench_airline_taubench_toolcalling_deepseekv3_1760385714_UPLOAD.zip,1,1.0,11,14,1,7,1,2,0,0,0,respond,respond,1,1,1,1,0,0,HAT266|HAT189|HAT266|HAT112,respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> update_reservation_flights -> respond -> update_reservation_flights -> respond -> respond,respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> update_reservation_flights(HAT266+HAT189) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> respond
taubench_airline_taubench_toolcalling_gemini20flash001_1760387340,Taubench ToolCalling,google/gemini-2.0-flash-001,taubench_airline_taubench_toolcalling_gemini20flash001_1760387340_UPLOAD.zip,0,0.0,17,20,1,12,1,2,0,0,1,transfer_to_human_agents,transfer_to_human_agents,1,1,1,0,1,1,HAT266|HAT112|HAT266|HAT112,respond -> respond -> respond -> respond -> respond -> respond -> get_reservation_details -> respond -> search_direct_flight -> respond -> respond -> respond -> update_reservation_flights -> respond -> update_reservation_flights -> respond -> transfer_to_human_agents,respond -> respond -> respond -> respond -> respond -> respond -> get_reservation_details(reservation_id=1N99U6) -> respond -> search_direct_flight(origin=LAS) -> respond -> respond -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> update_reservation_flights(HAT266+HAT112) -> respond -> transfer_to_human_agents
