benchmark,normalized_model,low_tool_harness,low_tool_count,low_tool_pass_rate,high_tool_harness,high_tool_count,high_tool_pass_rate,low_minus_high_pass_rate
assistantbench,GPT-4.1,AssistantBench Browser Agent,6,0.06060606060606061,HAL Generalist Agent,13,0.09090909090909091,-0.030303030303030304
assistantbench,Gemini 2.0 Flash,AssistantBench Browser Agent,6,0.0,HAL Generalist Agent,13,0.030303030303030304,-0.030303030303030304
gaia,o4-mini,HF Open Deep Research,10,0.5181818181818182,HAL Generalist Agent,13,0.5636363636363636,-0.045454545454545414
gaia,DeepSeek R1,HF Open Deep Research,10,0.24848484848484848,HAL Generalist Agent,13,0.30303030303030304,-0.054545454545454564
swebench_verified_mini,DeepSeek R1,SWE-Agent,9,0.0,HAL Generalist Agent,13,0.06,-0.06
assistantbench,Claude Opus 4.1,AssistantBench Browser Agent,6,0.015151515151515152,HAL Generalist Agent,13,0.09090909090909091,-0.07575757575757576
online_mind2web,GPT-5,Browser-Use,6,0.29888888888888887,SeeAct,7,0.3811111111111111,-0.08222222222222225
online_mind2web,o3,Browser-Use,6,0.29,SeeAct,7,0.39,-0.10000000000000003
assistantbench,DeepSeek V3 / Chat,AssistantBench Browser Agent,6,0.0,HAL Generalist Agent,13,0.12121212121212122,-0.12121212121212122
online_mind2web,o4-mini,Browser-Use,6,0.19166666666666668,SeeAct,7,0.31833333333333336,-0.12666666666666668
gaia,Gemini 2.0 Flash,HF Open Deep Research,10,0.19393939393939394,HAL Generalist Agent,13,0.32727272727272727,-0.13333333333333333
taubench_airline,Claude Opus 4.1,HAL Generalist Agent,13,0.43,TAU-bench FewShot,14,0.58,-0.14999999999999997
taubench_airline,DeepSeek V3 / Chat,HAL Generalist Agent,13,0.18,TAU-bench FewShot,14,0.34,-0.16000000000000003
taubench_airline,Claude Opus 4,HAL Generalist Agent,13,0.44,TAU-bench FewShot,14,0.61,-0.16999999999999998
taubench_airline,GPT-5,HAL Generalist Agent,13,0.34,TAU-bench FewShot,14,0.51,-0.16999999999999998
taubench_airline,Gemini 2.0 Flash,HAL Generalist Agent,13,0.22,TAU-bench FewShot,14,0.44,-0.22
gaia,o3-mini,HF Open Deep Research,10,0.18181818181818182,HAL Generalist Agent,13,0.403030303030303,-0.2212121212121212
gaia,Claude 3.7 Sonnet,HF Open Deep Research,10,0.36363636363636365,HAL Generalist Agent,13,0.603030303030303,-0.23939393939393938
taubench_airline,DeepSeek R1,HAL Generalist Agent,13,0.1,TAU-bench FewShot,14,0.36,-0.26
taubench_airline,o3,HAL Generalist Agent,13,0.20833333333333334,TAU-bench FewShot,14,0.4842105263157895,-0.27587719298245617
taubench_airline,o4-mini,HAL Generalist Agent,13,0.2,TAU-bench FewShot,14,0.5454545454545454,-0.3454545454545454
gaia,Claude Opus 4.1,HF Open Deep Research,10,0.2696969696969697,HAL Generalist Agent,13,0.6636363636363637,-0.393939393939394
taubench_airline,GPT-4.1,HAL Generalist Agent,13,0.16,TAU-bench FewShot,14,0.56,-0.4
gaia,Claude Sonnet 4.5,HF Open Deep Research,10,0.3090909090909091,HAL Generalist Agent,13,0.7333333333333333,-0.4242424242424242
